,STATE,YEAR,gdp_per_capita
899,Rocky Mountain,2006,46756
900,Far West,2006,53932
901,United States,2007,49126
902,Alabama,2007,37522
903,Alaska,2007,67228
904,Arizona,2007,44168
905,Arkansas,2007,35205
906,California,2007,55154
907,Colorado,2007,52094
908,Connecticut,2007,70096
909,Delaware,2007,66344
910,District of Columbia,2007,167668
911,Florida,2007,43506
912,Georgia,2007,46374
913,Hawaii,2007,51245
914,Idaho,2007,37080
915,Illinois,2007,52856
916,Indiana,2007,44145
917,Iowa,2007,47504
918,Kansas,2007,45313
919,Kentucky,2007,38159
920,Louisiana,2007,46878
921,Maine,2007,38946
922,Maryland,2007,52646
923,Massachusetts,2007,60955
924,Michigan,2007,41925
925,Minnesota,2007,51351
926,Mississippi,2007,32041
927,Missouri,2007,42561
928,Montana,2007,38063
929,Nebraska,2007,47501
930,Nevada,2007,52818
931,New Hampshire,2007,48618
932,New Jersey,2007,57860
933,New Mexico,2007,40694
934,New York,2007,60018
935,North Carolina,2007,45440
936,North Dakota,2007,44385
937,Ohio,2007,44399
938,Oklahoma,2007,39716
939,Oregon,2007,46504
940,Pennsylvania,2007,46330
941,Rhode Island,2007,47137
942,South Carolina,2007,37724
943,South Dakota,2007,44017
944,Tennessee,2007,41172
945,Texas,2007,48954
946,Utah,2007,45293
947,Vermont,2007,41472
948,Virginia,2007,52657
949,Washington,2007,55348
950,West Virginia,2007,33892
951,Wisconsin,2007,45464
952,Wyoming,2007,65471
953,New England,2007,58158
954,Mideast,2007,56542
955,Great Lakes,2007,46279
956,Plains,2007,46501
957,Southeast,2007,43028
958,Southwest,2007,46684
959,Rocky Mountain,2007,47587
960,Far West,2007,54469
961,United States,2008,48401
962,Alabama,2008,36976
963,Alaska,2008,67527
964,Arizona,2008,41800
965,Arkansas,2008,34957
966,California,2008,54454
967,Colorado,2008,51651
968,Connecticut,2008,68777
969,Delaware,2008,62535
970,District of Columbia,2008,170687
971,Florida,2008,41241
972,Georgia,2008,44239
973,Hawaii,2008,50833
974,Idaho,2008,36691
975,Illinois,2008,51406
976,Indiana,2008,43515
977,Iowa,2008,46413
978,Kansas,2008,46050
979,Kentucky,2008,37875
980,Louisiana,2008,46578
981,Maine,2008,38508
982,Maryland,2008,52877
983,Massachusetts,2008,60723
984,Michigan,2008,39863
985,Minnesota,2008,51234
986,Mississippi,2008,33128
987,Missouri,2008,43118
988,Montana,2008,37636
989,Nebraska,2008,47770
990,Nevada,2008,49286
991,New Hampshire,2008,47842
992,New Jersey,2008,57784
993,New Mexico,2008,41207
994,New York,2008,58532
995,North Carolina,2008,45567
996,North Dakota,2008,48379
997,Ohio,2008,43548
998,Oklahoma,2008,40048
999,Oregon,2008,48508
1000,Pennsylvania,2008,46862
1001,Rhode Island,2008,45746
1002,South Carolina,2008,36834
1003,South Dakota,2008,45516
1004,Tennessee,2008,40949
1005,Texas,2008,48282
1006,Utah,2008,43375
1007,Vermont,2008,41764
1008,Virginia,2008,51985
1009,Washington,2008,54939
